co1521 do6764 hu7129 mo960 ra1585 
co444 do957 hu2028 mo765 ra66 
co3274 do2617 hu3692 mo5220 ra2568 
co14751 do1395 hu37 mo17145 ra8769 
co3328 do898 hu605 mo1698 ra604 
co858 do1621 hu3329 mo2424 ra3235 
co1341 do975 hu2111 mo728 ra605 
co3199 do1715 hu462 mo1241 ra171 
co2231 do3144 hu4469 mo6553 ra4102 
co3053 do8304 hu7335 mo2770 ra2715 
co84 do4813 hu12446 mo9009 ra10076 
co11428 do6450 hu10470 mo12567 ra2821 
co11737 do12191 hu13790 mo11415 ra13194 
co2227 do5264 hu7389 mo7650 ra7251 
co6781 do1513 hu5736 mo1743 ra7918 
co5383 do2599 hu3380 mo10170 ra324 
co1102 do3299 hu7311 mo3150 ra6589 
co6881 do2896 hu2256 mo4048 ra1897 
co4836 do6119 hu3677 mo8956 ra3198 
co3766 do8127 hu6796 mo10017 ra388 
co2003 do4289 hu13293 mo8887 ra3726 
co10005 do3312 hu15963 mo2253 ra9347 
co7975 do2225 hu7952 mo7443 ra7140 
co8851 do5498 hu4340 mo11080 ra11180 
co2514 do5403 hu4935 mo9926 ra9649 
co2746 do1117 hu3227 mo1816 ra1654 
co4256 do4382 hu9529 mo2517 ra6436 
co162 do6823 hu7868 mo6202 ra6736 
co7400 do9984 hu5222 mo11149 ra8923 
co7163 do6528 hu12563 mo13090 ra3347 
co3169 do2328 hu1115 mo5001 ra6512 
co5180 do3782 hu3319 mo2864 ra10800 
co8281 do4019 hu311 mo3697 ra11287 
co2766 do4083 hu10342 mo3645 ra1872 
co411 do3290 hu455 mo5129 ra1176 
co730 do2963 hu456 mo2719 ra449 
co7181 do1170 hu516 mo2571 ra1746 
co5658 do908 hu1739 mo2796 ra1076 
co5446 do2701 hu2447 mo7882 ra1075 
co7219 do119 hu7474 mo2984 ra5127 
co7482 do8121 hu8778 mo3304 ra6148 
co7247 do3743 hu5741 mo5126 ra4924 
co10355 do4801 hu5862 mo6869 ra1943 
co1208 do3738 hu701 mo5189 ra2695 
co410 do1429 hu4376 mo3516 ra969 
co4648 do4568 hu9179 mo2889 ra5240 
co10122 do6850 hu6031 mo2720 ra5464 
co5781 do2293 hu3489 mo4899 ra100 
co4649 do4323 hu5790 mo8025 ra3271 
co4383 do11157 hu8032 mo1045 ra801 
co237 do3226 hu5616 mo1943 ra7092 
co4285 do4302 hu2702 mo6052 ra8018 
co10922 do3677 hu9513 mo5679 ra1157 
co11031 do4487 hu7358 mo5346 ra1965 
co8035 do2603 hu1402 mo10707 ra2808 
co4725 do6392 hu1967 mo3426 ra7034 
co9700 do2625 hu5550 mo17322 ra2576 
co12552 do2104 hu11899 mo10822 ra9957 
co2386 do5909 hu7258 mo6482 ra2098 
co272 do8213 hu1832 mo2045 ra9936 
co8912 do5496 hu12175 mo4996 ra534 
co3242 do4069 hu1108 mo392 ra631 
co1432 do1296 hu1639 mo3833 ra2389 
co5168 do9432 hu5682 mo4138 ra2601 
co7432 do3449 hu856 mo763 ra632 
co9595 do4281 hu6060 mo5342 ra2921 
