INTERACTOR_1	INTERACTOR_2
co402	co5605
co1016	co170
co3225	co6170
co1238	co107
co40	co10547
co1237	co798
co8999	co5158
co7587	co4553
co2310	co3745
co6914	co4488
co5896	co2286
co1340	co1244
co2780	co1762
co3589	co1908
co2824	co354
co402	co737
co362	co6818
co133	co4633
co1687	co4135
co7458	co289
co4613	co3668
co2532	co6161
co9350	co1111
co3894	co346
co7175	co218
co3933	co10388
co1312	co1513
co300	co2019
co1600	co3403
co676	co643
co2346	co2570
co5897	co8691
co6290	co6359
co5425	co7953
co8003	co3141
co4020	co265
co3700	co1975
co141	co6193
co1199	co4759
co6005	co909
co5331	co2562
co1707	co6143
co565	co2366
co8817	co6585
co1008	co702
co4714	co6404
co2998	co112
co1195	co4860
co3296	co300
co4760	co2722
co1498	co1612
co7068	co1728
co675	co2376
co2553	co1048
co1698	co8430
co4122	co165
co10548	co10549
co3266	co3655
co115	co5117
co1195	co8808
co3535	co218
co3846	co8857
co358	co1354
co7251	co639
co2529	co223
co1776	co1446
co1845	co612
co10550	co1461
co2640	co2003
co1584	co196
co9547	co2503
co8893	co8671
co2339	co3313
co853	co4590
co533	co1997
co4008	co3707
co1253	co1779
co1716	co7276
co2901	co3634
co1974	co435
co7136	co4502
co5554	co4184
co4727	co8548
co1413	co987
co4211	co8261
co3015	co533
co5646	co2021
co627	co3871
co300	co2796
co271	co6828
co2459	co590
co1653	co2045
co6494	co215
co10360	co3751
co5760	co2568
co5754	co668
co753	co2361
co7881	co4910
co1735	co4885
co2308	co4997
co2047	co4892
co30	co7639
co2892	co1361
co3025	co3368
co2798	co6824
co2672	co1244
co1246	co3624
co9473	co1876
co1341	co5664
co3296	co2401
co100	co4553
co271	co5626
co10551	co768
co4204	co1380
co7483	co3009
co646	co269
co67	co5771
co2216	co7170
co5427	co362
co9855	co4348
co457	co2155
co4937	co508
co1472	co10552
co1513	co3009
co1746	co2304
co337	co10369
co499	co157
co3754	co4120
co1845	co1729
co4503	co3048
co3780	co2670
co5554	co3939
co300	co3510
co4116	co1994
co5757	co6632
co4477	co10553
co5407	co508
co1845	co396
co329	co2260
co746	co542
co983	co2427
co5885	co2867
co214	co8492
co90	co1074
co4941	co668
co1756	co38
co4037	co3111
co205	co2077
co8749	co6762
co2125	co8
co1236	co1069
co3725	co2388
co1235	co8934
co1661	co3644
co6256	co5687
co2369	co7533
co3096	co639
co2158	co8759
co2473	co18
co3295	co8250
co3570	co10554
co2086	co221
co116	co2282
co3736	co2163
co2988	co5523
co28	co1167
co7173	co10555
co874	co9426
co4993	co522
co3993	co2048
co3121	co6946
co2541	co10556
co6149	co520
co5961	co2809
co1068	co2561
co144	co10557
co4472	co31
co10558	co8779
co2169	co10559
co2270	co1339
co104	co1646
co2557	co141
co9500	co10057
co6048	co300
co807	co3211
co7913	co2430
co3992	co229
co124	co1111
co25	co1357
co1984	co5034
co779	co8706
co1606	co1711
co179	co9150
co3658	co1083
co690	co3911
co3376	co2258
co3647	co10560
co2226	co5113
co2283	co3173
co272	co981
co1845	co333
co10091	co882
co1283	co468
co7970	co6871
co4127	co4594
co2090	co67
co4204	co176
co4149	co1206
co6880	co4316
co2970	co6194
co733	co1686
co1050	co4797
co10446	co1568
co1253	co6487
co350	co4408
co7576	co8223
co10561	co3175
co8395	co5470
co3708	co331
co2554	co10562
co4992	co10419
co1162	co1605
co8340	co675
co2671	co539
co10128	co6946
co1195	co1649
co6641	co132
co3875	co144
co3855	co3002
co6906	co1225
co1997	co4038
co2428	co9759
co4277	co912
co2116	co72
co4745	co2844
co8480	co1073
co10563	co317
co4945	co5261
co457	co2366
co165	co5483
co4805	co2476
co1780	co2666
co109	co4654
co2676	co4769
co2468	co1245
co576	co668
co725	co7297
co9338	co7890
co1329	co1037
co10564	co439
co10565	co522
co10566	co5433
co1341	co1137
co1303	co1748
co2237	co6855
co10567	co9063
co1991	co1159
co3642	co5844
co5776	co7068
co1287	co1201
co10568	co17
co630	co8268
co3598	co4135
co1275	co2885
co2362	co2575
co316	co4391
co997	co1625
co2197	co5987
co893	co1278
co1280	co46
co8583	co3047
co682	co1146
co5529	co218
co395	co2315
co10569	co500
co88	co827
co2520	co4030
co67	co1050
co550	co9385
co1	co10570
co1305	co8919
co3540	co4285
co2140	co4832
co10571	co6284
co2088	co3124
co5446	co10572
co10573	co9417
co10574	co2163
co675	co9966
co1939	co4083
co7848	co4423
co2499	co2643
co10575	co2593
co235	co5961
co10576	co6667
co7313	co43
co348	co1757
co9996	co10206
co10577	co1394
co3933	co147
co2072	co9346
co1417	co4779
co513	co565
co2527	co206
co708	co1592
co6438	co353
co1798	co4106
co2998	co4902
co1	co10578
co2293	co2198
co3384	co8230
co7754	co491
co6026	co10579
co2889	co1398
co7911	co654
co1739	co8280
co1854	co5013
co2636	co4815
co2526	co2847
co214	co5076
co5037	co3414
co509	co6128
co1821	co950
co2072	co6976
co3479	co1899
co2112	co3244
co260	co702
co4975	co7825
co4043	co10255
co1993	co7781
co4661	co2163
co889	co9999
co4290	co2221
co6936	co231
co5702	co989
co1698	co4773
co9423	co369
co3071	co5636
co3386	co6293
co24	co4488
co3658	co10016
co2787	co831
co300	co904
co7111	co6043
co7894	co141
co3077	co8543
co7951	co1201
co2511	co4277
co3425	co4002
co925	co10580
co8587	co2705
co6584	co4372
co4764	co4130
co5124	co2705
co1489	co3463
co987	co2705
co10581	co165
co4983	co3417
co3575	co1704
co3383	co3264
co4017	co1705
co189	co1166
co9867	co1597
co5040	co115
co1287	co660
co2830	co319
co10582	co7031
co4251	co6931
co1975	co3845
co1612	co2691
co371	co657
co1475	co10197
co4755	co3026
co5254	co702
co1941	co1014
co1098	co6825
co3880	co3741
co10583	co8196
co3383	co4598
co1061	co809
co925	co9354
co654	co1884
co2088	co4386
co10584	co1111
co7763	co3700
co1351	co1891
co4542	co1839
co732	co10585
co2197	co1811
co7102	co10586
co2232	co1058
co5176	co5034
co3929	co702
co5141	co8272
co5425	co5356
co1068	co6259
co2128	co401
co8930	co43
co1641	co3596
co925	co8606
co10565	co165
co583	co1111
co3159	co1049
co10587	co5235
co10588	co7833
co7129	co6708
co816	co2155
co770	co2327
co3410	co5555
co15	co10589
co235	co1209
co2129	co10590
co810	co8744
co109	co4144
co9842	co5030
co6631	co2425
co1018	co10591
co4651	co5801
co3034	co9542
co9079	co3576
co230	co3690
co8089	co1990
co467	co23
co2241	co1276
co7267	co10200
co6880	co10592
co7823	co3549
co1798	co98
co537	co372
co2618	co4256
co1021	co7884
co2771	co2578
co7337	co1292
co165	co10593
co1370	co293
co2357	co1761
co1621	co144
co3894	co1950
co28	co610
co11	co1512
co2551	co869
co10433	co10594
co2758	co1327
co6768	co2147
co982	co1272
co3607	co10595
co767	co3953
co2656	co2918
co5110	co958
co3937	co3681
co5629	co291
co2543	co2221
co191	co8411
co675	co1781
co5031	co214
co1066	co8721
co7931	co1426
co217	co3388
co3713	co10596
co1249	co1409
co6638	co9107
co6706	co6719
co160	co3921
co6869	co401
co3773	co303
co5797	co4158
co7789	co2852
co9771	co2235
co8516	co5579
co6377	co1662
co10597	co4601
co1494	co104
co5461	co439
co7837	co3534
co5733	co353
co6821	co2087
co615	co3634
co10598	co522
co1230	co1276
co2251	co6860
co107	co2687
co8250	co4191
co3492	co2140
co7442	co5265
co4655	co9603
co6411	co3839
co671	co7922
co3283	co8938
co1163	co1610
co2039	co353
co2369	co10397
co982	co303
co2787	co4030
co8934	co3700
co8417	co1219
co4564	co515
co562	co1777
co1992	co4046
co2128	co1496
co3461	co4845
co230	co2722
co3384	co3958
co6914	co1720
co2072	co167
co1610	co1185
co7742	co2020
co2438	co817
co10599	co10213
co2215	co2953
co2752	co289
co7712	co10600
co6417	co695
co5114	co1508
co1026	co2560
co5240	co391
co468	co1217
co1125	co2944
co363	co1021
co1716	co790
co768	co5274
co10233	co5527
co2821	co8531
co1349	co423
co4989	co2267
co1531	co1000
co702	co9441
co5335	co6920
co10601	co3790
co10602	co6982
co496	co8713
co9957	co8794
co5874	co958
co6923	co4826
co1775	co5239
co3493	co6738
co2623	co5140
co2756	co8260
co1529	co1765
co1716	co1886
co1147	co322
co4527	co9881
co4514	co2551
co675	co3799
co4666	co787
co1051	co5500
co158	co6798
co4608	co10603
co2044	co7553
co10604	co598
co62	co6787
co604	co2619
co4275	co120
co2081	co1034
co3876	co5745
co530	co7484
co6545	co1048
co694	co3175
co4665	co628
co10605	co5460
co3565	co1460
co300	co1978
co43	co353
co1096	co4154
co2751	co695
co8383	co3095
co1075	co380
co1645	co456
co3415	co2948
co316	co770
co4371	co3659
co1660	co5010
co3024	co5735
co109	co2942
co2491	co64
co853	co3715
co6260	co4571
co10084	co1276
co1941	co1158
co5529	co8463
co191	co5450
co625	co120
co4324	co7837
co670	co4243
co196	co1420
co10606	co439
co757	co522
co2094	co8003
co6691	co904
co1319	co4426
co2544	co2362
co4718	co7690
co4372	co909
co91	co5569
co1770	co1195
co1159	co816
co402	co4885
co4261	co2694
co5096	co10607
co6046	co51
co9712	co2527
co1802	co1446
co7683	co3243
co4733	co80
co702	co3555
co1147	co67
co1025	co4948
co6892	co10608
co1853	co2511
co1617	co5983
co480	co2006
co10609	co2499
co2024	co2582
co3846	co206
co5246	co1441
co1337	co104
co4085	co112
co5896	co525
co10610	co468
co7517	co2282
co436	co6894
co7305	co165
co4050	co5331
co2959	co108
co2612	co4668
co8338	co4026
co6433	co5662
co6231	co7402
co5507	co2520
co9783	co3175
co9645	co10611
co1088	co6326
co1940	co624
co8181	co10612
co4408	co2618
co767	co594
co221	co1013
co1699	co4901
co4102	co702
co10613	co711
co467	co291
co4954	co1640
co2596	co1064
co1762	co958
co6253	co5570
co4758	co5641
co10614	co9394
co690	co6572
co2557	co583
co975	co668
co1418	co958
co2865	co10615
co10117	co3002
co2696	co2155
co271	co104
co1272	co8782
co2020	co237
co1159	co9120
co4831	co10616
co1517	co10181
co4771	co1324
co8044	co4870
co1660	co931
co768	co1203
co6856	co3382
co6498	co1349
co961	co2218
co3817	co7671
co1248	co543
co2870	co4507
co6551	co177
co1174	co1365
co3802	co18
co6672	co439
co10617	co2318
co3248	co6632
co8757	co4663
co2790	co4625
co10618	co10619
co1238	co1939
co509	co5563
co2797	co303
co1904	co2831
co271	co5920
co117	co3093
co9943	co1722
co431	co3054
co9101	co4426
co4912	co7810
co7091	co9655
co10620	co2918
co121	co10621
co2328	co10622
co5043	co9025
co5054	co10493
co1482	co5907
co3853	co5839
co2758	co1613
co235	co1984
co346	co5735
co176	co5188
co2082	co2221
co2919	co1339
co6986	co1974
co5461	co4335
co1881	co210
co10623	co218
co1981	co6818
co4131	co846
co10624	co165
co8873	co3370
co227	co1696
co690	co2123
co1509	co3597
co7734	co6361
co925	co4066
co4289	co4531
co3504	co546
co5040	co5092
co1004	co262
co3675	co10549
co1053	co4197
co1417	co210
co2028	co2015
co2382	co5339
co2540	co5747
co10625	co522
co6255	co3171
co520	co4867
co695	co7674
co6472	co481
co1670	co454
co932	co222
co1337	co2999
co1513	co3602
co2305	co1272
co10626	co2646
co10245	co2254
co6189	co2046
co4771	co1998
co3500	co691
co8300	co9391
co7134	co3425
co2865	co892
co2692	co1824
co8459	co3500
co3236	co1758
co731	co2814
co586	co1744
co373	co3661
co5230	co10627
co8893	co7273
co1224	co527
co722	co1144
co6742	co491
co193	co1772
co2594	co1659
co3276	co816
co6205	co1423
co7672	co1191
co1515	co289
co10070	co1876
co7313	co178
co1017	co7879
co8274	co218
co931	co9716
co805	co2173
co1846	co5425
co8813	co9932
co17	co4473
co509	co934
co3311	co1052
co1349	co7284
co6194	co149
co9756	co1090
co8271	co8294
co4308	co353
co566	co3828
co300	co313
co5803	co1393
co1731	co6373
co3455	co10628
co10629	co251
co1789	co361
co457	co2
co3529	co5213
co585	co3239
co3700	co3163
co2642	co2334
co1900	co7179
co7634	co281
co5563	co4701
co2827	co904
co904	co5754
co3312	co10096
co25	co5477
co1532	co1362
co1180	co1272
co3754	co1550
co3384	co12
co10414	co790
co6081	co2401
co115	co5024
co4092	co1244
co1016	co1072
co10630	co2964
co2406	co92
co1585	co708
co8376	co767
co5887	co1748
co8273	co2716
co1685	co1290
co3231	co2486
co2879	co7240
co453	co2060
co9388	co5282
co8926	co583
co4033	co3077
co1349	co3715
co3478	co865
co4260	co1744
co8815	co1452
co1889	co4985
co467	co2033
co7732	co4014
co336	co8782
co203	co3438
co4614	co9354
co1874	co1280
co509	co2248
co221	co10631
co8121	co218
co2459	co5431
co681	co8704
co2084	co4205
co4989	co7786
co7955	co742
co2156	co1094
co10265	co3382
co1291	co462
co1701	co2173
co7932	co6721
co2310	co218
co4085	co1468
co1442	co7267
co4904	co1405
co4567	co1605
co1295	co5514
co3672	co491
co3449	co4002
co7080	co5637
co5936	co2457
co2680	co2307
co2437	co617
co447	co3848
co4177	co6344
co4053	co3567
co2903	co9604
co4137	co1563
co239	co7492
co4191	co257
co2540	co6079
co4975	co1202
co8503	co10632
co4503	co303
co10633	co1474
co2012	co4507
co2291	co706
co7190	co1337
co1303	co10634
co3899	co319
co2543	co7922
co388	co2513
co10354	co769
co3675	co454
co2226	co2972
co10044	co7999
co7527	co702
co4290	co958
co8419	co4528
co2521	co6222
co1224	co9103
co6654	co2612
co7460	co141
co2439	co4889
co1283	co4040
co89	co2102
co853	co2152
co4043	co124
co6570	co10635
co3927	co508
co10636	co543
co1018	co4933
co2294	co4889
co1166	co3187
co1433	co2473
co5518	co10637
co925	co779
co513	co8017
co466	co3332
co8688	co4601
co4904	co6050
co2127	co991
co2139	co4554
co2897	co6906
co4426	co218
co1498	co24
co1671	co2106
co3658	co1073
co362	co491
co1446	co6036
co5726	co3057
co314	co4155
co2889	co2170
co2584	co6347
co1485	co3387
co6354	co10638
co1201	co1722
co2573	co427
co4477	co7694
co770	co5706
co1016	co940
co5733	co657
co5758	co2569
co604	co668
co9547	co4800
co247	co4652
co109	co1276
co336	co5527
co2337	co1462
co682	co1631
co443	co5382
co5604	co67
co3282	co289
co5120	co1069
co7124	co4092
co1916	co2709
co3112	co6565
co38	co3010
co5333	co7615
co7609	co5355
co724	co6318
co2077	co3241
co1807	co515
co115	co200
co5063	co4901
co10639	co5158
co3846	co7052
co6494	co2282
co121	co1276
co5874	co172
co1511	co6780
co7734	co3816
co144	co9322
co3466	co4288
co3399	co1283
co105	co3219
co5506	co2425
co8140	co481
co3386	co571
co1508	co2439
co300	co2023
co1357	co2987
co2180	co6828
co10260	co699
co4846	co668
co8	co2439
co1282	co28
co515	co3665
co3860	co4045
co2376	co888
co2787	co4591
co412	co1838
co2796	co948
co10640	co898
co5458	co4274
co8001	co5357
co1285	co8
co6641	co961
co1671	co10386
co2053	co2479
co929	co1646
co1582	co1719
co192	co165
co189	co5069
co5907	co1296
co1428	co8726
co2072	co10641
co7354	co6621
co1751	co1092
co327	co8480
co7652	co3909
co805	co1276
co6529	co2236
co5786	co2147
co235	co416
co4048	co3751
co4301	co3172
co6003	co3816
co728	co104
co10642	co4541
co165	co590
co4406	co4687
co2869	co956
co1173	co4155
co7868	co10643
co6606	co7885
co7894	co4443
co100	co1815
co4553	co4951
co1900	co3433
co2846	co165
co1641	co10644
co1936	co2918
co8023	co2310
co4664	co53
co6983	co958
co1594	co240
co3286	co10016
co3810	co165
co8316	co5603
co5651	co1585
co2867	co121
co10230	co3967
co4255	co9064
co107	co5191
co2751	co1138
co7874	co324
co160	co346
co136	co4129
co494	co7096
co1889	co10645
co2786	co4840
co104	co3918
co10646	co2811
co4103	co3565
co1682	co165
co6158	co1276
co3466	co3773
co5747	co8650
co6091	co1847
co1162	co4213
co441	co2655
co5135	co112
co3700	co7063
co3658	co4307
co4290	co8
co937	co2334
co102	co7435
co88	co663
co6277	co729
co7362	co2717
co2221	co141
co2557	co2560
co10647	co82
co387	co3531
co1055	co7968
co524	co4194
co874	co2689
co3200	co218
co5582	co3252
co2352	co1263
co2291	co4436
co4827	co2050
co549	co7683
co1841	co2710
co10648	co165
co2875	co10649
co4028	co1273
co4830	co90
co6458	co218
co2592	co161
co1271	co2573
co2708	co311
co381	co4119
co10650	co10651
co1315	co906
co7286	co469
co1092	co4308
co109	co9687
co100	co1280
co3565	co3335
co1738	co1201
co6207	co4734
co100	co626
co2226	co86
co7973	co8101
co899	co4044
co2129	co3918
co6747	co5784
co1763	co4760
co500	co910
co6618	co8123
co1840	co3421
co3633	co311
co5684	co6038
co4325	co2568
co6477	co1276
co1499	co915
co1088	co7481
co129	co8
co1767	co1591
co3478	co3112
co1711	co1748
co5106	co122
co25	co5056
co6391	co10084
co10652	co3747
co2896	co1282
co6752	co1532
co4488	co639
co346	co10653
co10654	co6606
co4409	co5376
co9625	co3958
co300	co1843
co10313	co2180
co6966	co7266
co5570	co10198
co2997	co4981
co1675	co1282
co337	co9302
co1248	co121
co10324	co4637
co8508	co1610
co5506	co699
co2473	co8187
co7881	co8331
co10655	co1664
co2989	co663
co4288	co2163
co2008	co1059
co4852	co6759
co2047	co616
co1845	co4842
co7172	co9645
co3389	co2767
co6314	co10656
co4461	co8729
co558	co2560
co9762	co3498
co3804	co333
co2866	co2658
co1076	co97
co1145	co3561
co6498	co317
co695	co9990
co10122	co10110
co3378	co1098
co3231	co1534
co3791	co344
co923	co2774
co2944	co104
co175	co738
co1310	co10168
co1732	co508
co1248	co1111
co10657	co251
co81	co7471
co3155	co1282
co6469	co579
co115	co2661
co165	co4815
co402	co3201
co5160	co8030
co436	co7571
co759	co4889
co1268	co668
co4647	co691
co4150	co1982
co3165	co9872
co932	co2218
co8844	co1244
co1585	co2800
co917	co5593
co2327	co2046
co3802	co112
co457	co2249
co3003	co6765
co3833	co3784
co6373	co1574
co856	co43
co1162	co493
co1845	co7696
co6335	co7265
co6628	co1845
co5065	co4409
co4185	co11
co4217	co5870
co2447	co457
co1045	co10658
co3063	co1818
co2359	co1938
co2585	co303
co936	co5192
co899	co10659
co23	co2074
co1255	co9285
co2718	co2010
co262	co2284
co10660	co1924
co5096	co1563
co1756	co2026
co1416	co517
co6262	co3490
co766	co509
co210	co3982
co1271	co4772
co3336	co936
co5317	co2587
co3384	co2421
co1382	co6566
co2623	co2410
co5667	co311
co2618	co311
co2386	co2985
co2255	co870
co3231	co1496
co197	co3426
co8142	co736
co7294	co806
co480	co1195
co439	co2862
co1200	co1561
co4087	co1279
co702	co2987
co1791	co10119
co10627	co2475
co2623	co1595
co3310	co2774
co5163	co491
co2528	co6421
co10661	co117
co562	co505
co10662	co3919
co346	co4840
co8976	co4514
co5667	co6135
co2869	co5371
co257	co4953
co4094	co4541
co420	co1898
co230	co6855
co1021	co1279
co1753	co7141
co165	co7042
co10663	co10664
co585	co2166
co5653	co2478
co5514	co609
co5550	co5779
co199	co1840
co12	co1558
co4398	co353
co1255	co5685
co558	co4043
co2192	co994
co2156	co177
co7050	co1838
co5294	co3700
co7635	co240
co5823	co112
co300	co4398
co8050	co4663
co206	co222
co144	co10612
co1382	co2893
co6914	co702
co2337	co527
co15	co1595
co3369	co1219
co804	co1365
co10665	co9259
co5239	co2499
co4020	co311
co3378	co509
co2373	co2377
co3900	co5228
co10666	co847
co4302	co509
co3806	co6347
co9171	co4738
co6891	co6421
co4414	co509
co5713	co3227
co1563	co1550
co586	co303
co10667	co9970
co480	co1550
co10668	co535
co4373	co539
co2140	co1934
co3276	co7198
co5774	co10669
co2959	co3193
co4826	co3688
co10670	co218
co6704	co8257
co64	co136
co10597	co2032
co109	co77
co3461	co362
co10671	co1354
co205	co4949
co10672	co7355
co7334	co218
co358	co3134
co6608	co8067
co3383	co1017
co1504	co1349
co7192	co221
co8687	co165
co3689	co702
co3169	co96
co144	co9487
co5911	co421
co2377	co2618
co403	co269
co1085	co3849
co6826	co2783
co767	co3000
co956	co3463
co1409	co10673
co6715	co2209
co3466	co806
co2382	co1297
co1061	co7941
co1521	co4226
co767	co6889
co2541	co5778
co5077	co782
co1641	co1356
co2468	co2891
co2450	co214
co4348	co910
co2892	co1272
co10674	co866
co1845	co658
co10675	co6487
co2259	co7449
co9209	co1319
co115	co10676
co2696	co5514
co1633	co4486
co10677	co1987
co3762	co7036
co2520	co48
co2334	co3020
co124	co2904
co1609	co112
co1913	co958
co6084	co7797
co3753	co248
co1780	co4106
co4967	co3212
co1517	co4908
co3804	co2527
co6357	co6477
co481	co1816
co10678	co4956
co2775	co360
co3172	co6373
co3693	co60
co1711	co5569
co6654	co4016
co7473	co661
co2285	co52
co870	co7803
co75	co2239
co11	co5305
co4354	co770
co1468	co587
co948	co8230
co954	co535
co720	co4059
co1322	co1098
co8	co1048
co62	co1891
co4635	co5715
co2974	co732
co8462	co25
co1361	co5567
co3105	co993
co8323	co2680
co2790	co1761
co7469	co1815
co200	co10679
co3798	co43
co7434	co9895
co2027	co3680
co516	co4730
co1374	co2434
co7248	co4105
co6309	co10680
co7197	co411
co3890	co2829
co10397	co104
co1936	co10681
co1179	co156
co1845	co3976
co3536	co702
co10682	co3260
co706	co5801
co1366	co193
co2551	co6261
co4250	co517
co4669	co300
co1609	co2527
co1272	co1446
co2692	co5338
co2663	co7594
co6993	co6438
co1416	co2588
co1824	co1606
co247	co1325
co10224	co10683
co9063	co127
co1633	co2334
co5294	co3110
co6574	co1349
co2869	co3609
co675	co5760
co1297	co809
co1041	co3581
co92	co2361
co4109	co3116
co60	co4898
co11	co391
co10684	co2893
co6769	co4582
co3417	co1490
co3897	co92
co4639	co1499
co3279	co1434
co2755	co310
co2310	co879
co5017	co6396
co117	co8805
co6514	co209
co1146	co38
co7724	co7874
co8174	co1876
co1451	co457
co1851	co7983
co865	co165
co3241	co6495
co380	co4499
co711	co444
co5280	co4460
co1088	co466
co923	co3356
co5514	co311
co3214	co91
co263	co2657
co25	co278
co25	co5700
co3036	co2331
co3965	co98
co513	co3828
co1494	co8375
co2615	co3807
co509	co1990
co10685	co4904
co708	co774
co10686	co2276
co1297	co439
co4540	co3536
co380	co7306
co7872	co7316
co4478	co8582
co3475	co1036
co1986	co473
co2716	co1341
co8157	co2564
co7130	co1692
co3438	co104
co5389	co7733
co1089	co7412
co5466	co1910
co2382	co8831
co9070	co1396
co245	co4892
co3173	co4342
co6828	co1426
co442	co10687
co2892	co193
co2444	co5500
co7874	co822
co520	co9711
co3212	co1014
co925	co1085
co4818	co192
co9607	co4129
co10688	co657
co100	co3891
co36	co170
co3056	co987
co1845	co9509
co1295	co2300
co4726	co3654
co9371	co738
co478	co2834
co9547	co1788
co1225	co1177
co2244	co104
co3882	co675
co3712	co6955
co2248	co5818
co5878	co4898
co509	co4346
co2130	co353
co6737	co1918
co9717	co243
co9004	co827
co165	co202
co9775	co509
co2671	co10689
co6242	co324
co3410	co10690
co995	co7034
co1559	co2406
co68	co1376
co10691	co904
co373	co6900
co6250	co10692
co10693	co1467
co980	co98
co124	co10694
co6523	co245
co25	co10695
co478	co2896
co62	co6129
co753	co816
co5404	co10064
co1319	co2457
co2413	co972
co671	co7546
co1184	co1527
co9740	co1716
co10345	co9696
co337	co1105
co7449	co1520
co1620	co2964
co5975	co668
co1484	co5895
co1816	co1855
co3025	co5726
co861	co3615
co2197	co363
co7041	co1890
co853	co1664
co3224	co3697
co10696	co293
co3163	co3623
co10560	co274
co3872	co124
co3908	co1926
co7814	co4151
co2248	co517
co8808	co10697
co1303	co3042
co2252	co151
co949	co2325
co5690	co7224
co72	co2594
co1361	co7587
co10698	co702
co268	co4531
co9098	co91
co24	co3452
co7238	co2776
co1439	co1994
co5192	co1527
co3183	co5362
co6622	co1698
co2369	co423
co7271	co3148
co3231	co3425
co2882	co9351
co3356	co602
co8958	co7270
co9546	co5813
co2112	co6509
co2526	co4274
co2255	co1901
co2526	co6337
co2457	co1818
co4666	co85
co8321	co3965
co9063	co7690
co6029	co4211
co1324	co4594
co640	co2154
co4846	co10699
co4415	co1121
co6729	co5161
co1588	co331
co4801	co6897
co5311	co4832
co10456	co809
co10070	co10700
co4187	co2923
co121	co738
co5487	co2221
co6482	co1368
co2094	co291
co1541	co2520
co1092	co1779
co2300	co6369
co3236	co4046
co1145	co4197
co5374	co4909
co4397	co9
co5927	co3857
co8758	co1321
co7212	co3833
co5466	co3452
co4608	co6713
co6584	co7459
co675	co4885
co1036	co543
co5073	co1610
co7041	co3745
co1496	co365
co49	co4620
co10701	co2976
co64	co740
co515	co4213
co3976	co8631
co300	co258
co668	co795
co1852	co4885
co3644	co10702
co4204	co2266
co5594	co2362
co10657	co10051
co1489	co9733
co2989	co2027
co2130	co517
co2933	co470
co623	co702
co4910	co5681
co2271	co2316
co2134	co10607
co6262	co8046
co117	co2243
co8172	co10437
co4532	co7914
co1290	co2266
co5693	co5853
co8632	co1703
co1382	co754
co8235	co4929
co567	co7145
co7684	co5061
co3383	co2082
co2116	co706
co8797	co417
co3347	co3050
co2896	co3497
co4970	co5775
co3708	co10703
co288	co1432
co615	co10704
co7210	co2528
co311	co5364
co2300	co1195
co2390	co120
co761	co237
co8536	co1691
co3598	co1259
co1361	co3425
co2850	co948
co985	co124
co5576	co1502
co10363	co3171
co6301	co136
co3518	co8391
co8926	co3096
co4666	co695
co6318	co1278
co1934	co303
co6469	co43
co6743	co8517
co1824	co5489
co61	co6552
co1003	co8570
co1613	co194
co3125	co1562
co1568	co3975
co5605	co1397
co2510	co5943
co5191	co8123
co1993	co7690
co3143	co6524
co5130	co6318
co10705	co2628
co332	co5830
co193	co779
co2786	co702
co1202	co5533
co1789	co2201
co4745	co353
co950	co875
co89	co8807
co1392	co331
co3922	co319
co69	co5167
co214	co331
co2560	co797
co1612	co661
co10552	co10706
co10583	co5598
co5072	co4554
co2084	co1337
co9773	co3573
co4596	co21
co520	co1459
co595	co4570
co2419	co1653
co5516	co8721
co67	co4071
co4530	co3253
co1236	co3847
co2145	co5822
co1900	co3513
co8195	co9180
co537	co2026
co193	co3634
co6702	co112
co527	co331
co1903	co9307
co2139	co6814
co3466	co10707
co10708	co3480
co10452	co1317
co2865	co9566
co6340	co10709
co1361	co10106
co10706	co2180
co1250	co6924
co17	co6459
co5487	co8261
co2618	co4038
co3043	co1461
co1838	co6115
co646	co7063
co594	co7505
co3025	co93
co6608	co8931
co1250	co481
co2343	co2185
co575	co816
co9276	co1842
co1195	co4967
co7976	co827
co10710	co394
co8238	co10711
co596	co481
co6088	co6821
co1845	co2091
co326	co4151
co1941	co4807
co2158	co6635
co2450	co1910
co1221	co3665
co4500	co4486
co1971	co1720
co6255	co786
co165	co2299
co1478	co7683
co4920	co331
co3633	co2231
co2348	co527
co3001	co473
co2471	co2708
co10663	co120
co334	co615
co757	co4449
co10497	co3131
co7341	co608
co1315	co7558
co1545	co4610
co761	co3179
co1371	co1432
co10701	co2456
co2615	co1090
co2084	co1442
co5078	co7319
co953	co7001
co380	co599
co4161	co64
co1970	co222
co10222	co1818
co5907	co1013
co4532	co2023
co387	co2665
co520	co7398
co54	co10028
co3173	co218
co513	co27
co4047	co2568
co5637	co10712
co520	co2723
co675	co1272
co3043	co987
co2439	co2499
co4020	co5677
co7512	co473
co1278	co5762
co509	co10074
co4380	co5286
co577	co10348
co9331	co3335
co675	co5596
co2102	co5284
co105	co485
co2922	co1904
co1662	co3990
co5533	co277
co1885	co9214
co4726	co9638
co2008	co942
co5745	co58
co10713	co5757
co2060	co2927
co1333	co2633
co473	co198
co2060	co10134
co4763	co2279
co4980	co702
co2691	co543
co7171	co1838
co7129	co4610
co498	co3515
co7224	co522
co5344	co2810
co4662	co1582
co132	co7293
co6884	co193
co1098	co1485
co690	co1854
co2604	co1180
co3121	co2758
co210	co624
co6081	co415
co6931	co5174
co1180	co6535
co190	co1334
co2746	co5222
co770	co3363
co5487	co4009
co872	co1258
co5255	co3315
co300	co432
co5033	co218
co6860	co17
co6606	co9904
co2199	co6789
co4548	co10714
