hu11866	mo7137	rt4248
hu11840	mo13935	rt15132
rt13266	hu9618	mo9247
mo10881	hu9608	rt5245
rt15281	mo15753
hu8624	mo892	rt3128
rt10594	mo13619
rt7453	hu7577	mo6480
rt12879	mo15583
rt1087	hu1580	mo5751
mo6532	hu4198
mo10806	hu17060
rt10518	hu2744	mo10812
mo3537	hu5037	rt6351
rt7759	hu13923	mo12765
mo11982	hu14994	rt3528
rt4491	hu8198	mo8208
rt14148	mo16313
mo16022	hu14900
hu1841	mo1794	rt8404
rt3246	mo9868
mo2565	hu1611	rt6425
mo13102	hu14873
mo14298	hu17495
mo16895	hu6937
hu15458	mo14274	rt13161
mo196	hu6481
mo16200	hu16446	rt14935
mo3725	hu2386
mo3212	hu2974
rt9718	hu7676	mo11662
mo635	hu9994	rt12777
rt546	hu16324	mo6765
rt5872	hu790	mo8019
mo15751	hu7304
mo10264	hu9198
rt13227	hu14486	mo14219
mo12633	hu17358
mo7375	hu366
mo4542	hu4983
hu7138	mo7436	rt5254
mo13783	hu18028
mo7368	hu3283	rt6409
mo10504	hu12731	rt4030
hu812	mo10727	rt11658
rt3216	hu2080	mo3715
hu8343	mo11051	rt8827
hu14627	mo15515	rt13504
mo13668	hu17646
hu15853	mo8726
mo13613	hu17114
mo6099	hu16503
hu13844	mo17129
mo1793	hu1328	rt4980
mo12622	hu2240
hu14101	mo2324
mo16026	hu13045
mo6491	hu6555	rt3806
rt8426	hu13820	mo9860
hu2766	mo7859	rt7400
mo10273	hu10365
mo11484	hu17997
rt14982	hu17011	mo14835
hu2420	mo1651	rt4794
rt6295	hu5413	mo3588
rt14363	mo13862
rt5974	hu7553	mo1317
mo1024	hu16828	rt11205
mo12906	hu17577
hu9855	mo5439	rt9715
mo14074	hu16570	rt11141
hu11231	mo11071	rt7277
hu10305	mo16351	rt11130
hu13105	mo7740	rt8673
mo6259	hu14547	rt2316
mo3752	hu5391
mo14996	hu17551
mo4091	hu8781	rt7597
mo1028	hu36	rt3678
hu609	mo8556	rt6390
mo7309	hu6296
rt13563	mo14973
mo16174	hu16090
rt13100	hu15657	mo13172
hu3322	mo1240	rt862
hu5532	mo5604	rt4286
mo15038	hu17446	rt14394
hu7768	mo1745	rt7039
rt10987	hu17685	mo3695
mo13191	hu12500
mo9951	hu9339
mo6607	hu1027	rt4381
mo16920	hu7987	rt12874
hu15028	mo7355	rt14362
hu4349	mo176	rt2679
hu5447	mo9164	rt6115
mo8789	hu14441	rt3181
rt9813	mo16830
hu2714	mo3969	rt10635
rt6256	hu674	mo4662
hu5763	rt13325
mo4843	hu5082	rt2157
rt13828	mo16435
mo11287	hu6138	rt3503
hu16266	mo16061	rt12326
mo17045	rt10548
hu1366	mo5479	rt13652
mo6369	hu14020
mo15338	hu17921
rt7355	hu9329	mo9932
mo16203	hu13613
rt7580	hu10150	mo9648
mo15630	hu16027
rt3042	hu374	mo1914
rt3842	hu5366	mo7854
mo1026	hu2068	rt207
hu1849	mo3341	rt1445
mo476	hu1014	rt4285
hu12642	mo11192
mo2698	hu6668	rt5424
rt9882	mo6492
mo16131	hu14450	rt3620
hu8242	mo13849	rt12836
hu12750	mo16008
hu2164	mo8200	rt3508
rt3358	hu6805	mo133
hu12749	mo9026	rt14844
mo4563	hu7510	rt3114
mo3239	hu9641
rt5798	hu16234	mo11175
rt3501	hu678	mo4759
hu6086	mo537
mo11690	hu8298
mo14228	hu16351	rt12529
rt7558	hu992	mo6456
mo9850	hu5166	rt8292
mo7167	hu10053
hu1276	mo2986	rt7191
mo11903	hu16488
mo10283	hu3774
mo280	hu569	rt752
rt15104	hu13396	mo8741
rt10539	hu8760	mo8835
mo6110	hu1972
rt12889	mo16516
mo10062	hu7341	rt8281
mo2149	hu3776	rt5440
rt12847	hu11444
mo10951	hu10694
rt3075	hu3248	mo1247
mo16217	hu12189	rt14151
hu77	mo7546	rt8017
hu5319	mo13657	rt14094
mo16836	hu17303
hu15053	mo13214	rt12692
hu1912	mo10094	rt10855
hu9970	mo1623	rt11317
mo5188	hu7631
rt10387	hu10027	mo9195
mo14913	hu3720
mo14062	hu12171
rt15435	hu15708
hu10668	mo17205	rt3166
rt7649	hu10162	mo2272
rt14603	hu16513	mo11875
hu12977	mo11845	rt7890
mo14674	hu12633
mo9278	hu10351
rt1199	hu4318	mo7047
hu14422	mo3881	rt15155
hu17835	mo14894	rt7873
mo8105	hu4450
mo6706	hu2595
rt5117	hu12065	mo8636
mo2659	hu7875	rt14140
mo10142	hu10868	rt10097
hu4456	mo3507	rt4613
mo15212	hu2007	rt14255
hu7659	mo1096	rt5164
rt9539	hu11069	mo1274
hu13353	mo14976	rt10405
rt11692	mo15766
rt15002	hu14532	mo16810
mo1311	hu7948	rt7702
rt14177	mo13420
hu13114	mo2562	rt8876
hu9843	mo14820	rt5911
mo9936	hu17323
rt12398	hu16326	mo7597
hu5725	mo3393	rt9034
hu222	mo10393	rt2730
hu9485	mo15225	rt5217
mo10157	rt9153
rt11182	hu10469	mo9494
rt9623	hu10484	mo6506
mo8367	hu7708
mo5177	hu11959	rt6200
hu8559	rt11954
rt5433	hu8328	mo14997
rt13164	hu7613	mo11068
hu10023	mo11791	rt8295
mo11151	hu16581
mo6115	hu1246
hu15771	mo14096	rt15270
rt12950	hu14436	mo14625
rt1836	hu9655	mo4476
rt5070	mo16635
rt5905	mo12486
rt6810	hu9585	mo5474
mo15329	hu14823	rt11214
hu17485	mo12377	rt13857
rt13911	hu14522	mo14695
mo1757	hu1040	rt265
rt5138	hu5598	mo17214
hu3392	mo2019	rt3532
mo7898	hu15072
hu15384	mo16763	rt14435
mo10317	hu6006	rt10207
hu10116	mo14562	rt13146
hu5367	mo15486
hu3721	mo2355	rt11563
hu7027	mo526	rt11576
mo35	hu969	rt3442
mo8169	hu10799	rt10331
mo16875	hu15465
mo6552	hu5855	rt4532
mo16867	rt3817
hu9750	mo10740	rt6585
rt6463	hu5488	mo3418
rt14239	hu15305	mo15481
rt3472	hu13089	mo5524
rt1632	hu3235	mo5477
rt12462	mo1338
mo11543	hu7128	rt9301
hu10509	mo11973	rt999
mo1531	hu9602
rt5895	hu3916	mo2461
rt13878	mo14968
mo4036	hu8458
hu15030	mo7843	rt11822
mo16056	hu17710
mo16371	hu16452	rt14695
mo14161	hu5601
rt5654	hu13484	mo3138
rt1407	hu8372	mo4764
hu14959	mo14033	rt13380
hu6895	mo8339	rt8854
rt9520	hu15459	mo14248
hu4306	mo15179	rt6056
mo14258	hu6553
hu711	mo2299	rt3038
hu6567	mo3256	rt2819
rt2481	hu8447	mo7844
hu2621	mo5725	rt11811
mo8327	hu13032	rt3928
mo14940	hu2171
rt9219	hu11524	mo11161
hu1560	mo5692	rt3727
mo1411	hu29
mo5726	hu7493	rt6633
hu3740	mo2395	rt6438
rt2936	hu11456	mo6395
mo10358	hu16557
mo12255	hu13485	rt7035
mo16346	hu17119	rt15139
mo9328	hu13254
mo12482	hu4333	rt15660
hu9064	rt15000
hu3961	mo8476	rt12550
rt14301	mo5646
hu6365	mo1138	rt2307
hu10470	mo12567	rt2821
rt2029	hu11722	mo1104
rt12757	hu16892
rt20	hu4492	mo3310
hu9694	mo1276	rt2282
mo5028	hu15852
rt15498	mo15656
rt821	hu16200	mo16517
hu4891	mo844	rt5483
mo8793	hu7179	rt6029
rt8671	hu7754	mo6783
rt3836	hu414	mo6468
rt7860	hu12198	mo11479
hu10095	mo17019
rt3	hu9823	mo1681
hu5717	mo8164	rt10915
mo9505	hu6649	rt3746
mo5149	hu6558
mo13539	hu9951
mo1915	hu1524	rt3494
mo6288	hu6703
rt8201	hu16702	mo15605
hu3090	mo6840	rt6374
mo8520	hu5057
hu13582	mo3804	rt9493
mo9706	hu10888	rt9136
rt8826	hu17559	mo12030
mo7935	hu6367
hu2102	mo3510	rt807
mo16177	hu15111
rt10392	hu11147	mo13227
hu5382	mo5014	rt9181
mo6831	hu4010	rt2615
rt13918	hu18009
mo14814	hu12647	rt12674
hu11853	mo13789	rt5527
rt10570	mo15796
hu14344	mo1573
rt11374	hu4397	mo10210
rt15727	mo17492
rt14555	mo10105
mo11920	hu14302
rt14838	hu15842	mo16109
mo13813	hu14552	rt9556
mo13004	hu13015	rt17
hu5066	rt4847
rt13761	hu15827	mo6855
hu1860	mo8674	rt2070
mo2126	rt14423	hu3200
hu1506	mo1165	rt292
mo2512	hu5005	rt8509
rt15062	mo16559
hu6782	mo11513	rt3106
hu12055	mo10297	rt11995
hu12077	mo13758
mo10442	hu8172
mo14183	hu15957
rt12392	hu18076
mo5089	hu7638	rt2893
hu10881	mo9516	rt9564
rt1790	hu7572	mo12874
hu8214	mo17120	rt3303
mo13688	hu10728
rt15737	hu17414
rt899	hu6312	mo5771
mo16676	hu16868
mo9144	hu12124	rt13415
rt15366	mo10802
mo11668	hu4581
hu1138	mo13927	rt9834
rt9698	hu4758
mo10485	hu9307	rt7210
rt2329	hu16598	mo17110
rt14257	hu15210	mo12799
rt6880	hu10135	mo10704
hu54	mo1932	rt1050
rt11987	hu11446	mo10089
hu6498	mo11856	rt6070
rt11173	hu886	mo11781
mo8448	hu6846
rt5284	hu2258	mo8512
rt1982	hu14533	mo67
mo16041	hu5903	rt12077
hu3362	mo3527	rt1947
hu17672	mo11947	rt13704
rt8821	hu6851	mo7592
hu1915	mo15445
mo16095	hu17029
rt4565	hu1888	mo13825
hu10321	mo8570
rt9802	hu14084	mo13345
hu1628	mo6334	rt6119
rt369	hu12889	mo4885
hu9012	mo8125	rt958
mo14678	hu14514
rt5777	hu12474	mo12756
hu6785	mo5605	rt8156
hu6667	mo5331	rt2757
hu6747	mo14249	rt9648
hu14130	mo16668	rt12967
hu444	mo13990	rt4020
mo16071	hu17418
rt14563	hu16879	mo15232
mo418	hu7523	rt3335
hu9639	mo17183
